Date,SPY close,SPY daily,Date,BND close,BND daily
29/09/2023,421.7764893,,2023-09-29 00:00:00+00:00,69.77999878,
02/10/2023,421.6087646,-0.04%,2023-10-02 00:00:00+00:00,69.11000061,-0.96%
03/10/2023,415.9650879,-1.34%,2023-10-03 00:00:00+00:00,68.55000305,-0.81%
04/10/2023,418.9941406,0.73%,2023-10-04 00:00:00+00:00,69,0.66%
05/10/2023,418.8362732,-0.04%,2023-10-05 00:00:00+00:00,69.05000305,0.07%
06/10/2023,423.809021,1.19%,2023-10-06 00:00:00+00:00,68.77999878,-0.39%
09/10/2023,426.5223389,0.64%,2023-10-09 00:00:00+00:00,69.48000336,1.02%
10/10/2023,428.7423096,0.52%,2023-10-10 00:00:00+00:00,69.41000366,-0.10%
11/10/2023,430.4985962,0.41%,2023-10-11 00:00:00+00:00,69.73000336,0.46%
12/10/2023,427.874054,-0.61%,2023-10-12 00:00:00+00:00,69.12999725,-0.86%
13/10/2023,425.7428894,-0.50%,2023-10-13 00:00:00+00:00,69.44999695,0.46%
16/10/2023,430.22229,1.05%,2023-10-16 00:00:00+00:00,69.08999634,-0.52%
17/10/2023,430.2025452,0.00%,2023-10-17 00:00:00+00:00,68.63999939,-0.65%
18/10/2023,424.4700623,-1.33%,2023-10-18 00:00:00+00:00,68.33999634,-0.44%
19/10/2023,420.7405396,-0.88%,2023-10-19 00:00:00+00:00,68.04000092,-0.44%
20/10/2023,415.5704346,-1.23%,2023-10-20 00:00:00+00:00,68.29000092,0.37%
23/10/2023,414.8501587,-0.17%,2023-10-23 00:00:00+00:00,68.55000305,0.38%
24/10/2023,417.9778748,0.75%,2023-10-24 00:00:00+00:00,68.77999878,0.34%
25/10/2023,411.9789734,-1.44%,2023-10-25 00:00:00+00:00,68.26000214,-0.76%
26/10/2023,407.0456848,-1.20%,2023-10-26 00:00:00+00:00,68.72000122,0.67%
27/10/2023,405.2006226,-0.45%,2023-10-27 00:00:00+00:00,68.72000122,0.00%
30/10/2023,410.045166,1.20%,2023-10-30 00:00:00+00:00,68.55000305,-0.25%
31/10/2023,412.6203308,0.63%,2023-10-31 00:00:00+00:00,68.52999878,-0.03%
01/11/2023,417.0208435,1.07%,2023-11-01 00:00:00+00:00,68.98999786,0.67%
02/11/2023,425.0127869,1.92%,2023-11-02 00:00:00+00:00,69.38999939,0.58%
03/11/2023,428.8902893,0.91%,2023-11-03 00:00:00+00:00,69.80000305,0.59%
06/11/2023,429.8769836,0.23%,2023-11-06 00:00:00+00:00,69.5,-0.43%
07/11/2023,431.1004028,0.28%,2023-11-07 00:00:00+00:00,69.84999847,0.50%
08/11/2023,431.4161682,0.07%,2023-11-08 00:00:00+00:00,70.06999969,0.31%
09/11/2023,428.0516357,-0.78%,2023-11-09 00:00:00+00:00,69.55000305,-0.74%
10/11/2023,434.7313232,1.56%,2023-11-10 00:00:00+00:00,69.68000031,0.19%
13/11/2023,434.3169556,-0.10%,2023-11-13 00:00:00+00:00,69.66000366,-0.03%
14/11/2023,442.7430115,1.94%,2023-11-14 00:00:00+00:00,70.51000214,1.22%
15/11/2023,443.6802979,0.21%,2023-11-15 00:00:00+00:00,70.12000275,-0.55%
16/11/2023,444.2229919,0.12%,2023-11-16 00:00:00+00:00,70.54000092,0.60%
17/11/2023,444.7755127,0.12%,2023-11-17 00:00:00+00:00,70.63999939,0.14%
20/11/2023,448.1991882,0.77%,2023-11-20 00:00:00+00:00,70.73999786,0.14%
21/11/2023,447.2224426,-0.22%,2023-11-21 00:00:00+00:00,70.83999634,0.14%
22/11/2023,448.9490662,0.39%,2023-11-22 00:00:00+00:00,70.90000153,0.08%
24/11/2023,449.2253418,0.06%,2023-11-24 00:00:00+00:00,70.55999756,-0.48%
27/11/2023,448.4162598,-0.18%,2023-11-27 00:00:00+00:00,70.98999786,0.61%
28/11/2023,448.8602905,0.10%,2023-11-28 00:00:00+00:00,71.29000092,0.42%
29/11/2023,448.5444946,-0.07%,2023-11-29 00:00:00+00:00,71.66000366,0.52%
30/11/2023,450.3106384,0.39%,2023-11-30 00:00:00+00:00,71.43000031,-0.32%
01/12/2023,452.9746399,0.59%,2023-12-01 00:00:00+00:00,71.80999756,0.53%
04/12/2023,450.5967712,-0.52%,2023-12-04 00:00:00+00:00,71.51999664,-0.40%
05/12/2023,450.5079956,-0.02%,2023-12-05 00:00:00+00:00,71.98000336,0.64%
06/12/2023,448.6925354,-0.40%,2023-12-06 00:00:00+00:00,72.19000244,0.29%
07/12/2023,452.1162415,0.76%,2023-12-07 00:00:00+00:00,72.16999817,-0.03%
08/12/2023,454.0599365,0.43%,2023-12-08 00:00:00+00:00,71.81999969,-0.48%
11/12/2023,455.8260803,0.39%,2023-12-11 00:00:00+00:00,71.83000183,0.01%
12/12/2023,457.9079285,0.46%,2023-12-12 00:00:00+00:00,72.04000092,0.29%
13/12/2023,464.2225342,1.38%,2023-12-13 00:00:00+00:00,72.95999908,1.28%
14/12/2023,465.7124023,0.32%,2023-12-14 00:00:00+00:00,73.51000214,0.75%
15/12/2023,464.9455872,-0.16%,2023-12-15 00:00:00+00:00,73.40000153,-0.15%
18/12/2023,467.5609436,0.56%,2023-12-18 00:00:00+00:00,73.25,-0.20%
